dzielnica,wskaznik_przestepstw
Aniołki,49.72768174283684
Brętowo,31.694869728713403
Brzeźno,23.313219967087218
Chełm,12.035260059200468
Jasień,20.69362735014605
Kokoszki,23.128598848368522
Krakowiec - Górki Zachodnie,44.551475015051174
Letnica,84.66819221967964
Matarnia,21.150033046926634
Młyniska,49.16593503072871
Nowy Port,26.580035440047254
Oliwa,25.926939389793404
Olszynka,35.714285714285715
Orunia Górna - Gdańsk Południe,29.78125274532197
Orunia - Św. Wojciech - Lipce,37.30814639905549
Osowa,19.75749369114298
Piecki-Migowo,11.481985794722704
Przeróbka,47.14086471408647
Przymorze Małe,42.44903433476395
Przymorze Wielkie,12.721602101116218
Rudniki,179.24528301886792
Siedlce,29.022689008257835
Stogi,22.4
Strzyża,15.336217066456939
Suchanino,13.977260874100343
Śródmieście,72.76151343947953
Ujeścisko - Łostowice,15.511407417333913
VII Dwór,21.008403361344538
Wrzeszcz Dolny,28.501478196600146
Wrzeszcz Górny,43.96924555502162
Wyspa Sobieszewska,32.25806451612903
Wzgórze Mickiewicza,13.052631578947368
Zaspa Młyniec,16.321913380736913
Zaspa Rozstaje,17.274626385987464
Żabianka - Wejhera - Jelitkowo - Tysiąclecia,11.072902338376892
